Sample number,Sample Name,# reads after C&M prior mapping,# of Merged Reads,% Merged Reads,# reads not attempted to map,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 122/188,MTK001.A0101,3669931,0,0.000,0,28098,2540,25558,0.766,1.099,0.0005,0.0259,0.05,0,0,0,0,13,0.05365441487114491,99.03,0.0287,0.0251,0.0246,0.0291,65.66,74.0,44.65
Sample 123/188,MTK001.A0101.170817,8560696,579642,6.771,7981054,58245,500,57745,0.680,1.009,0.0012,0.0545,0.06,0.05,0,0,0,39,0.1423139598044541,118.12,0.0227,0.0219,0.016,0.0299,64.63,72.0,44.33
Sample 124/188,MTM001.A0101,7155208,504410,7.050,6650798,681625,30012,651613,9.526,1.046,0.0118,0.2507,0.6,0.49,0.04,0.01,0,193,0.6335928541251735,53.53,0.0279,0.0281,0.0269,0.0252,56.25,55.0,44.72
Sample 125/188,MTM002.A0101,5389832,407392,7.559,4982440,184741,21236,163505,3.428,1.130,0.0033,0.2349,0.16,0.1,0.01,0,0,108,0.4058180940310218,124.69,0.0271,0.0258,0.0217,0.0264,61.66,67.0,45.74
Sample 126/188,MTM003.A0101,14814017,0,0.000,0,823465,81883,741582,5.559,1.110,0.0159,0.2248,1.5,0.03,0.01,0,0,223,0.886414388315529,55.92,0.0218,0.0233,0.0173,0.0291,66.2,75.0,44.47
Sample 127/188,MTM003.A0101.170817,38355763,2777385,7.241,35578378,1943106,39094,1904012,5.066,1.021,0.04,0.7083,2.01,1.71,0.07,0.04,0.01,584,2.24256140986179,56.15,0.0183,0.0245,0.0163,0.0292,64.96,74.0,43.91
Sample 128/188,MTM004.A0101,7813241,569203,7.285,7244038,145096,7047,138049,1.857,1.051,0.0025,0.0893,0.13,0.1,0.01,0,0,40,0.12662200494900114,50.26,0.026,0.0255,0.0248,0.0252,56.51,56.0,45.96
Sample 129/188,MTM005.A0101,6291256,447278,7.110,5843978,44698,2081,42617,0.710,1.049,0.0008,0.0488,0.05,0.03,0,0,0,59,0.21485907417466352,258.24,0.0251,0.0244,0.023,0.0195,60.52,64.0,46.89
Sample 130/188,MTM006.A0101,12766544,989036,7.747,11777508,70049,3243,66806,0.549,1.049,0.0013,0.0561,0.07,0.06,0.01,0,0,23,0.09566057094574205,71.74,0.0279,0.0281,0.0307,0.0238,61.82,67.0,46.81
Sample 131/188,MTM008.A0101,9644803,687625,7.129,8957178,166685,8091,158594,1.728,1.051,0.0032,0.1203,0.17,0.12,0.01,0,0,117,0.4545838614279679,143.35,0.0279,0.0243,0.0251,0.0232,61.95,65.0,49.18
Sample 132/188,MTM009.A0101,4450923,347215,7.801,4103708,26606,1129,25477,0.598,1.044,0.0004,0.0304,0.02,0.02,0,0,0,17,0.06379383185466836,150.31,0.0717,0.0536,0.0628,0.0561,51.61,48.0,47.65
