File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
LIB013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	334	117	1282	117	1	35.0299401197605	35.0299401197605
LIB014.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	991883	516734	16945573	516690	51	52.0962653861393	52.0918293790699
LIB015.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1451516	579583	17049800	579572	57	39.9294944044709	39.9287365761039
LIB017.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	936003	469849	29310730	469827	46	50.1973818459984	50.1950314261813
LIB017.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	670043	415577	31567435	415575	41	62.0224373659601	62.0221388776541
LIB025.A0301_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	712751	122816	4817986	122785	12	17.2312630918792	17.2269137468765
LIB025.A0601_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	718323	450419	8551762	450419	45	62.7042430772786	62.7042430772786
LIB025.A0701_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	830044	403799	2424481	403787	40	48.6479030027324	48.6464572962397
LIB025.A1001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1009329	391608	5768629	391583	39	38.7988455696805	38.7963686766158
LIB025.A1301_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	364668	187923	6759782	187916	18	51.5326269373787	51.530707383154
LIS001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10615930	3547342	17917023	3547318	354	33.4152730848828	33.4150470095413
LIS002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11561710	3357847	15673555	3357826	335	29.042823250194	29.0426416161623
LIS003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10417160	3293600	27939310	3293578	329	31.6170626159145	31.6168514259165
LOB001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8770905	1996879	36154264	1996564	199	22.7670804780122	22.7634890584267
MOA001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15176910	4792477	12779680	4792453	479	31.5774225451689	31.5772644102126
MTK001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8268804	2144694	33490141	2144666	214	25.9371730180084	25.9368343958812
MTM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3486856	750210	16693432	750194	75	21.5153708670504	21.5149120009544
MTM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3065269	1226956	24908094	1226953	122	40.027677831864	40.0275799611714
MTM003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	34546048	15043355	304806340	15043255	1504	43.5458058762612	43.5455164075497
MTM004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4106490	971773	11258595	971759	97	23.6643215982506	23.6639806744933
MTM005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3434086	892672	28209229	892640	89	25.9944567491903	25.9935249146352
MTM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7069851	2316160	44790733	2316137	231	32.761086478343	32.7607611532407
MTM008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	5164298	1310169	33112681	1310143	131	25.3697404758594	25.3692370192425
MTM009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	2385491	564184	9516471	564176	56	23.6506446681207	23.6503093073921
MTM010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9123626	2355428	55653444	2355388	235	25.816796962085	25.8163585399051
MTM011.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4775010	1601294	39141901	1601274	160	33.5348826494604	33.5344638021701
MTM012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10623025	5360805	130422791	5360769	536	50.4640156640881	50.4636767775657
MTM013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7105486	3016926	76199428	3016896	301	42.4591083565572	42.4586861475767
MTS001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6540914	2004153	42230993	2004129	200	30.6402591442113	30.6398922230135
MTS002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6562562	2467960	56818254	2467867	246	37.6066542304667	37.6052371009981
MTS003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7532301	2941622	70769720	2941591	294	39.0534313485348	39.0530197877116
OAK001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11211671	1633369	14406722	1633216	163	14.568470658834	14.5671060094432
OAK002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14005970	4186707	39769834	4186666	418	29.892303067906	29.8920103355926
OAK003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17189509	5099220	19980333	5099162	509	29.6647216624978	29.6643842473918
